,Timestamp,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Acc 1,Acc 2,Acc 3
0,1557408482.906017,165.0,270.0,253.0,80.0,214.0,175.0,182.0,130.0,121.0,-34.0,-35.0,982.0,1557.0,-408.0
1,1557408482.908627,163.0,278.0,261.0,81.0,220.0,190.0,207.0,140.0,121.0,-34.0,-35.0,982.0,1557.0,-408.0
2,1557408482.912012,163.0,278.0,261.0,81.0,220.0,190.0,207.0,140.0,44.0,-72.0,25.0,1027.0,1530.0,-413.0
3,1557408482.914425,172.0,273.0,266.0,86.0,221.0,211.0,217.0,144.0,44.0,-72.0,25.0,1027.0,1530.0,-413.0
4,1557408482.916576,172.0,273.0,266.0,86.0,221.0,211.0,217.0,144.0,-37.0,-107.0,93.0,1006.0,1469.0,-415.0
5,1557408482.918564,186.0,280.0,260.0,92.0,213.0,259.0,247.0,158.0,-37.0,-107.0,93.0,1006.0,1469.0,-415.0
6,1557408482.920553,186.0,280.0,260.0,92.0,213.0,259.0,247.0,158.0,70.0,-140.0,124.0,1036.0,1494.0,-416.0
7,1557408482.92287,204.0,291.0,278.0,97.0,219.0,260.0,250.0,166.0,70.0,-140.0,124.0,1036.0,1494.0,-416.0
8,1557408482.925544,204.0,291.0,278.0,97.0,219.0,260.0,250.0,166.0,77.0,-134.0,122.0,1039.0,1593.0,-372.0
9,1557408482.927499,166.0,230.0,264.0,88.0,189.0,245.0,243.0,161.0,77.0,-134.0,122.0,1039.0,1593.0,-372.0
10,1557408482.929373,166.0,230.0,264.0,88.0,189.0,245.0,243.0,161.0,104.0,-108.0,89.0,1042.0,1622.0,-330.0
11,1557408482.93121,204.0,263.0,296.0,97.0,195.0,253.0,220.0,145.0,104.0,-108.0,89.0,1042.0,1622.0,-330.0
12,1557408482.934204,204.0,263.0,296.0,97.0,195.0,253.0,220.0,145.0,161.0,-75.0,69.0,1079.0,1660.0,-266.0
13,1557408482.936829,200.0,277.0,310.0,106.0,194.0,220.0,220.0,144.0,161.0,-75.0,69.0,1079.0,1660.0,-266.0
14,1557408482.939594,200.0,277.0,310.0,106.0,194.0,220.0,220.0,144.0,194.0,-26.0,25.0,1091.0,1701.0,-253.0
