,Gyro 0,Gyro 1,Gyro 2,Label,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Timestamp
0,-6.0,13.0,-7.0,1.0,-3457.0,5354.0,12200.0,8886.0,1.0,6.0,-9.0,4.0,-1.0,1.0,-1.0,3.0,1.9073486328125e-06
1,-6.0,13.0,-7.0,1.0,-3457.0,5354.0,12200.0,8886.0,-2.0,-12.0,-24.0,-12.0,-12.0,-1.0,4.0,-3.0,0.0028340816497802734
2,-6.0,13.0,-7.0,1.0,-3457.0,5354.0,12200.0,8886.0,-5.0,-6.0,10.0,1.0,-10.0,-3.0,-6.0,-4.0,0.0052835941314697266
3,3.0,21.0,-16.0,1.0,-3457.0,5348.0,12201.0,8888.0,-5.0,-6.0,10.0,1.0,-10.0,-3.0,-6.0,-4.0,0.007712364196777344
4,3.0,21.0,-16.0,1.0,-3457.0,5348.0,12201.0,8888.0,-6.0,-12.0,33.0,11.0,7.0,3.0,0.0,-3.0,0.010180473327636719
5,2.0,20.0,1.0,1.0,-3456.0,5337.0,12203.0,8893.0,-6.0,-12.0,33.0,11.0,7.0,3.0,0.0,-3.0,0.012504100799560547
6,2.0,20.0,1.0,1.0,-3456.0,5337.0,12203.0,8893.0,3.0,7.0,16.0,1.0,7.0,0.0,3.0,1.0,0.01482248306274414
7,2.0,20.0,1.0,1.0,-3456.0,5337.0,12203.0,8893.0,-11.0,-20.0,8.0,-2.0,-3.0,0.0,0.0,0.0,0.017070293426513672
8,8.0,19.0,9.0,1.0,-3457.0,5334.0,12204.0,8892.0,-11.0,-20.0,8.0,-2.0,-3.0,0.0,0.0,0.0,0.019352436065673828
9,8.0,19.0,9.0,1.0,-3457.0,5334.0,12204.0,8892.0,6.0,13.0,-6.0,10.0,1.0,1.0,14.0,0.0,0.022034645080566406
10,8.0,19.0,9.0,1.0,-3457.0,5334.0,12204.0,8892.0,-7.0,-15.0,8.0,-5.0,-3.0,-4.0,-4.0,-4.0,0.024707794189453125
11,3.0,18.0,9.0,1.0,-3458.0,5332.0,12204.0,8893.0,-7.0,-15.0,8.0,-5.0,-3.0,-4.0,-4.0,-4.0,0.027036428451538086
12,3.0,18.0,9.0,1.0,-3458.0,5332.0,12204.0,8893.0,4.0,4.0,-15.0,-4.0,4.0,-3.0,-6.0,2.0,0.0293576717376709
13,3.0,18.0,9.0,1.0,-3458.0,5332.0,12204.0,8893.0,-4.0,-15.0,-6.0,-1.0,-16.0,0.0,-10.0,-2.0,0.03161978721618652
14,2.0,12.0,14.0,1.0,-3457.0,5332.0,12204.0,8893.0,-4.0,-15.0,-6.0,-1.0,-16.0,0.0,-10.0,-2.0,0.033919572830200195
15,2.0,12.0,14.0,1.0,-3457.0,5332.0,12204.0,8893.0,5.0,11.0,-2.0,4.0,9.0,3.0,-2.0,-4.0,0.03624367713928223
16,2.0,12.0,14.0,1.0,-3457.0,5332.0,12204.0,8893.0,9.0,37.0,16.0,-4.0,4.0,-3.0,-4.0,7.0,0.038475990295410156
17,4.0,10.0,13.0,1.0,-3456.0,5331.0,12205.0,8893.0,9.0,37.0,16.0,-4.0,4.0,-3.0,-4.0,7.0,0.04079890251159668
18,4.0,10.0,13.0,1.0,-3456.0,5331.0,12205.0,8893.0,-16.0,-13.0,8.0,4.0,10.0,0.0,-13.0,-8.0,0.0431063175201416
19,4.0,10.0,13.0,1.0,-3456.0,5331.0,12205.0,8893.0,4.0,9.0,-10.0,-6.0,12.0,-1.0,8.0,-1.0,0.04535269737243652
20,1.0,8.0,19.0,1.0,-3456.0,5332.0,12205.0,8892.0,4.0,9.0,-10.0,-6.0,12.0,-1.0,8.0,-1.0,0.04764842987060547
21,1.0,8.0,19.0,1.0,-3456.0,5332.0,12205.0,8892.0,-9.0,-32.0,-24.0,-5.0,-13.0,-6.0,-2.0,-5.0,0.049994707107543945
22,1.0,8.0,19.0,1.0,-3456.0,5332.0,12205.0,8892.0,0.0,8.0,5.0,-4.0,10.0,0.0,-5.0,1.0,0.05245232582092285
23,1.0,8.0,11.0,1.0,-3455.0,5331.0,12206.0,8892.0,0.0,8.0,5.0,-4.0,10.0,0.0,-5.0,1.0,0.05503082275390625
24,1.0,8.0,11.0,1.0,-3455.0,5331.0,12206.0,8892.0,6.0,3.0,-7.0,-10.0,-11.0,0.0,-3.0,1.0,0.05762028694152832
25,1.0,8.0,11.0,1.0,-3455.0,5331.0,12206.0,8892.0,3.0,-5.0,-18.0,-3.0,14.0,5.0,8.0,0.0,0.05987858772277832
26,2.0,3.0,11.0,1.0,-3455.0,5331.0,12206.0,8892.0,3.0,-5.0,-18.0,-3.0,14.0,5.0,8.0,0.0,0.06212496757507324
27,2.0,3.0,11.0,1.0,-3455.0,5331.0,12206.0,8892.0,-5.0,4.0,12.0,-2.0,-3.0,-6.0,-2.0,-3.0,0.06447339057922363
28,2.0,3.0,11.0,1.0,-3455.0,5331.0,12206.0,8892.0,4.0,-5.0,-33.0,-4.0,-5.0,1.0,2.0,2.0,0.06670618057250977
29,3.0,1.0,12.0,1.0,-3454.0,5331.0,12207.0,8892.0,4.0,-5.0,-33.0,-4.0,-5.0,1.0,2.0,2.0,0.06899499893188477
30,3.0,1.0,12.0,1.0,-3454.0,5331.0,12207.0,8892.0,4.0,3.0,-25.0,-7.0,3.0,5.0,2.0,3.0,0.07131218910217285
31,3.0,1.0,12.0,1.0,-3454.0,5331.0,12207.0,8892.0,0.0,6.0,1.0,8.0,-18.0,-5.0,0.0,0.0,0.07357978820800781
32,6.0,3.0,18.0,1.0,-3454.0,5332.0,12208.0,8890.0,0.0,6.0,1.0,8.0,-18.0,-5.0,0.0,0.0,0.0758814811706543
33,6.0,3.0,18.0,1.0,-3454.0,5332.0,12208.0,8890.0,-1.0,-1.0,-4.0,-11.0,-13.0,-1.0,7.0,-1.0,0.07820510864257812
34,6.0,3.0,18.0,1.0,-3454.0,5332.0,12208.0,8890.0,-9.0,-14.0,9.0,-9.0,6.0,0.0,-3.0,-7.0,0.08048748970031738
35,6.0,3.0,18.0,1.0,-3454.0,5332.0,12208.0,8890.0,-4.0,-3.0,-7.0,17.0,-8.0,-1.0,0.0,-3.0,0.08292412757873535
36,4.0,2.0,18.0,1.0,-3456.0,5335.0,12209.0,8885.0,-4.0,-3.0,-7.0,17.0,-8.0,-1.0,0.0,-3.0,0.08551716804504395
37,4.0,2.0,18.0,1.0,-3456.0,5335.0,12209.0,8885.0,-6.0,-23.0,5.0,4.0,16.0,-2.0,0.0,-1.0,0.08820319175720215
38,4.0,2.0,18.0,1.0,-3456.0,5335.0,12209.0,8885.0,-1.0,-5.0,-15.0,5.0,3.0,-8.0,-11.0,-3.0,0.09049224853515625
39,15.0,0.0,18.0,1.0,-3458.0,5337.0,12211.0,8881.0,-1.0,-5.0,-15.0,5.0,3.0,-8.0,-11.0,-3.0,0.09274840354919434
40,15.0,0.0,18.0,1.0,-3458.0,5337.0,12211.0,8881.0,-6.0,-15.0,-15.0,1.0,14.0,4.0,1.0,-2.0,0.09528279304504395
41,15.0,0.0,18.0,1.0,-3458.0,5337.0,12211.0,8881.0,1.0,16.0,10.0,-11.0,-13.0,-1.0,-3.0,-2.0,0.09767007827758789
42,10.0,0.0,26.0,1.0,-3459.0,5340.0,12211.0,8878.0,1.0,16.0,10.0,-11.0,-13.0,-1.0,-3.0,-2.0,0.09996795654296875
43,10.0,0.0,26.0,1.0,-3459.0,5340.0,12211.0,8878.0,-4.0,-6.0,4.0,4.0,2.0,1.0,-6.0,0.0,0.10240817070007324
44,10.0,0.0,26.0,1.0,-3459.0,5340.0,12211.0,8878.0,6.0,-5.0,-36.0,-10.0,-3.0,2.0,1.0,1.0,0.10466957092285156
45,15.0,-7.0,21.0,1.0,-3460.0,5342.0,12213.0,8875.0,6.0,-5.0,-36.0,-10.0,-3.0,2.0,1.0,1.0,0.10692429542541504
46,15.0,-7.0,21.0,1.0,-3460.0,5342.0,12213.0,8875.0,8.0,9.0,-5.0,6.0,-7.0,0.0,3.0,4.0,0.10924935340881348
47,15.0,-7.0,21.0,1.0,-3460.0,5342.0,12213.0,8875.0,6.0,16.0,13.0,1.0,-2.0,-2.0,5.0,-1.0,0.11151766777038574
48,8.0,-2.0,21.0,1.0,-3460.0,5343.0,12214.0,8872.0,6.0,16.0,13.0,1.0,-2.0,-2.0,5.0,-1.0,0.11379194259643555
49,8.0,-2.0,21.0,1.0,-3460.0,5343.0,12214.0,8872.0,-11.0,-14.0,12.0,7.0,-4.0,-3.0,0.0,-6.0,0.11650300025939941
50,8.0,-2.0,21.0,1.0,-3460.0,5343.0,12214.0,8872.0,3.0,18.0,24.0,0.0,8.0,-2.0,-1.0,0.0,0.1190943717956543
51,7.0,-6.0,27.0,1.0,-3460.0,5347.0,12215.0,8868.0,3.0,18.0,24.0,0.0,8.0,-2.0,-1.0,0.0,0.1213996410369873
52,7.0,-6.0,27.0,1.0,-3460.0,5347.0,12215.0,8868.0,-8.0,-6.0,15.0,4.0,-12.0,-9.0,-14.0,-8.0,0.12374424934387207
53,7.0,-6.0,27.0,1.0,-3460.0,5347.0,12215.0,8868.0,2.0,-4.0,1.0,3.0,-1.0,4.0,6.0,2.0,0.12602639198303223
54,5.0,-3.0,29.0,1.0,-3459.0,5349.0,12216.0,8865.0,2.0,-4.0,1.0,3.0,-1.0,4.0,6.0,2.0,0.12832236289978027
55,5.0,-3.0,29.0,1.0,-3459.0,5349.0,12216.0,8865.0,-5.0,4.0,3.0,0.0,-7.0,2.0,3.0,-3.0,0.13064050674438477
56,5.0,-3.0,29.0,1.0,-3459.0,5349.0,12216.0,8865.0,0.0,-7.0,5.0,4.0,12.0,6.0,4.0,2.0,0.13289976119995117
57,-9.0,4.0,25.0,1.0,-3458.0,5351.0,12216.0,8865.0,0.0,-7.0,5.0,4.0,12.0,6.0,4.0,2.0,0.13515400886535645
58,-9.0,4.0,25.0,1.0,-3458.0,5351.0,12216.0,8865.0,1.0,-21.0,-17.0,-8.0,-11.0,0.0,-1.0,1.0,0.1375129222869873
59,-9.0,4.0,25.0,1.0,-3458.0,5351.0,12216.0,8865.0,-2.0,-13.0,-31.0,-5.0,0.0,2.0,-2.0,-3.0,0.1397562026977539
60,-6.0,2.0,23.0,1.0,-3458.0,5353.0,12216.0,8864.0,-2.0,-13.0,-31.0,-5.0,0.0,2.0,-2.0,-3.0,0.14203262329101562
61,-6.0,2.0,23.0,1.0,-3458.0,5353.0,12216.0,8864.0,8.0,15.0,-18.0,8.0,-13.0,0.0,2.0,6.0,0.14435338973999023
62,-6.0,2.0,23.0,1.0,-3458.0,5353.0,12216.0,8864.0,-3.0,3.0,2.0,-6.0,-10.0,-4.0,0.0,2.0,0.14676761627197266
63,-7.0,7.0,25.0,1.0,-3457.0,5355.0,12216.0,8862.0,-3.0,3.0,2.0,-6.0,-10.0,-4.0,0.0,2.0,0.14938688278198242
64,-7.0,7.0,25.0,1.0,-3457.0,5355.0,12216.0,8862.0,-2.0,16.0,24.0,8.0,12.0,2.0,-5.0,-2.0,0.15183305740356445
65,-7.0,7.0,25.0,1.0,-3457.0,5355.0,12216.0,8862.0,-3.0,-9.0,-28.0,4.0,5.0,-2.0,1.0,-4.0,0.15411853790283203
66,-14.0,6.0,21.0,1.0,-3458.0,5358.0,12215.0,8862.0,-3.0,-9.0,-28.0,4.0,5.0,-2.0,1.0,-4.0,0.15642881393432617
67,-14.0,6.0,21.0,1.0,-3458.0,5358.0,12215.0,8862.0,-1.0,1.0,3.0,-4.0,-2.0,2.0,12.0,-3.0,0.15887236595153809
68,-14.0,6.0,21.0,1.0,-3458.0,5358.0,12215.0,8862.0,-5.0,-14.0,-8.0,0.0,7.0,-2.0,-3.0,-1.0,0.1612107753753662
69,-22.0,2.0,14.0,1.0,-3456.0,5360.0,12214.0,8864.0,-5.0,-14.0,-8.0,0.0,7.0,-2.0,-3.0,-1.0,0.16346979141235352
70,-22.0,2.0,14.0,1.0,-3456.0,5360.0,12214.0,8864.0,2.0,-1.0,-2.0,-17.0,10.0,5.0,-1.0,5.0,0.16581511497497559
71,-22.0,2.0,14.0,1.0,-3456.0,5360.0,12214.0,8864.0,10.0,28.0,41.0,-1.0,-30.0,-8.0,-6.0,1.0,0.16812515258789062
72,-28.0,5.0,10.0,1.0,-3453.0,5361.0,12212.0,8867.0,10.0,28.0,41.0,-1.0,-30.0,-8.0,-6.0,1.0,0.17040085792541504
73,-28.0,5.0,10.0,1.0,-3453.0,5361.0,12212.0,8867.0,0.0,-19.0,-24.0,-7.0,-10.0,-2.0,-1.0,-1.0,0.17278313636779785
74,-28.0,5.0,10.0,1.0,-3453.0,5361.0,12212.0,8867.0,1.0,13.0,19.0,-6.0,5.0,4.0,5.0,-1.0,0.17521166801452637
75,-31.0,-1.0,9.0,1.0,-3451.0,5363.0,12210.0,8869.0,1.0,13.0,19.0,-6.0,5.0,4.0,5.0,-1.0,0.1776747703552246
76,-31.0,-1.0,9.0,1.0,-3451.0,5363.0,12210.0,8869.0,1.0,23.0,29.0,-9.0,3.0,1.0,-6.0,-2.0,0.1804211139678955
77,-31.0,-1.0,9.0,1.0,-3451.0,5363.0,12210.0,8869.0,-5.0,-18.0,1.0,-4.0,-3.0,-4.0,5.0,0.0,0.1827692985534668
